order,name,slug,group,status_context,researched_as,version,version_status,license,recommendation,priority,risk,complexity
48,Meilisearch,meilisearch,Phase 1B,UNKNOWN,Meilisearch,v1.38.2,CONFIRMED,MIT,LATER / HIGH-UTILITY IF SEARCH BECOMES IMPORTANT,25,Medium,Low to Medium
49,Dify,dify,Phase 1B,UNKNOWN,Dify LLM app platform,v1.13.3,CONFIRMED,Apache-2.0 / commercial cloud offerings also exist,LATER / USE-CASE DRIVEN,47,High,High
50,Strapi,strapi,Phase 1B,UNKNOWN,Strapi headless CMS,v5.42.0,CONFIRMED,Open-source core with commercial tiers; verify current licensing for enterprise features,ONLY IF CONTENT OPS OUTGROW CURRENT APPROACH,30,Medium,Medium
51,Jitsi,jitsi,Phase 1B,UNKNOWN,Jitsi Meet / docker-jitsi-meet,stable-10888,CONFIRMED,Apache-2.0 / mixed component licenses across ecosystem,PRIMARY SELF-HOST VIDEO CANDIDATE IF NEEDED,27.5,Medium,Medium to High
52,Chatwoot,chatwoot,Phase 1C,UNKNOWN,Chatwoot customer support platform,v4.12.1,CONFIRMED,MIT / enterprise cloud exists,LATER / GOOD SUPPORT PLATFORM,28.5,Medium,Medium
53,Mautic,mautic,Phase 1C,UNKNOWN,Mautic marketing automation platform,7.0.1,CONFIRMED,GPL-3.0,LATER / ONLY IF ADVANCED MARKETING AUTOMATION IS NEEDED,38.5,Medium,Medium to High
54,Formbricks,formbricks,Phase 1C,UNKNOWN,Formbricks survey and experience management platform,v4.8.7,CONFIRMED,AGPL-3.0 / commercial options,GOOD LATER FEEDBACK TOOL,29.5,Medium,Low to Medium
55,Gorse,gorse,Phase 1C,UNKNOWN,Gorse recommendation engine,v0.5.5,CONFIRMED,Apache-2.0,LATE / DATA-MATURITY DEPENDENT,48,Medium,Medium
56,Temporal,temporal,Phase 1C,UNKNOWN,Temporal workflow orchestration platform,v1.30.3,CONFIRMED,MIT / mixed ecosystem licenses,LATE / ONLY FOR TRUE DURABLE-WORKFLOW NEEDS,49,High,High
57,ClassroomIO,classroomio,Phase 1C,UNKNOWN,ClassroomIO,Release state UNVERIFIED (secondary trackers suggest v0.3.2),UNVERIFIED,Review current repo license before bundling,VERIFY FRESHNESS BEFORE ANY USE / LIKELY LATER,51,High,Medium to High
58,Metriport,metriport,Phase 1C,UNKNOWN,Metriport healthcare interoperability API,v5.84.0 [POTENTIALLY OUTDATED],PARTLY VERIFIED / stale release cadence,MIT / verify current repo terms,EXCLUDE FOR NOW,53,High,High
59,Wazuh,wazuh,Phase 1C,UNKNOWN,Wazuh security platform,v4.14.4,CONFIRMED,GPL-2.0,LATER / SECURITY-MATURITY DEPENDENT,50,High,High
